Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg),Channel 2 Magnitude (dB)
5.000000000000001,0.7725076903374184,-7.229271844680554,-0.03167653331760709
5.482390980715927,0.8496846233643194,-8.114870566307133,-0.03685299242902848
6.011322173087066,0.9288952152677689,-9.098296159391481,-0.03419378579632745
6.591283692782038,1.016326324198999,-10.11353727992933,-0.03615684749519417
7.227198853729641,1.133139310781286,-11.14426576170754,-0.1308257778122532
7.924465962305572,1.281343285575943,-12.32198680724837,-0.372958093789053
8.689004143746883,1.495421406326073,-13.67220787834992,-0.8951979396384004
9.527303589816242,1.783989271845193,-15.56759327427409,-1.74659528824268
10.44648065427019,2.146838532610321,-18.11789174464025,-2.806482342343728
11.45433826383886,2.587824491600557,-21.47298407014389,-4.003618341233369
12.5594321575479,3.11154588030907,-25.94543319127723,-5.314979864735103
13.77114351669083,3.710260980420421,-32.00817873070675,-6.72238286402624
15.09975860201008,4.339833139221097,-40.36902987706664,-8.175196515748073
16.55655607412956,4.865861866913216,-51.8473590015228,-9.53969865368857
18.15390273850507,5.016050801982225,-66.84519008914646,-10.54121676274918
19.90535852767487,4.438186484363174,-84.133454476327,-10.83003130004693
21.82579161200831,3.015048398424128,-100.6928399245641,-10.28930360092376
23.93150461613193,1.000401232160238,-114.0994754029079,-9.174967658644583
26.24037301248862,-1.266541571944438,-123.9417980166151,-7.831574865260112
28.77199686685784,-3.577869268792906,-130.9145332534158,-6.471084600782909
31.54786722400965,-5.852004745802075,-135.8454425434575,-5.183969818098193
34.59154854594681,-8.071503480721473,-139.348228498277,-3.997973269987405
37.92887875145918,-10.25168255812971,-141.8809105678491,-2.918219566510937
41.58818855513355,-12.42061490452684,-143.7598923497318,-1.944828293837163
45.60054196779549,-14.64644477369174,-145.2643915796392,-1.084405215120992
50.00000000000001,-17.09717941743622,-146.8272808026396,-0.3665667664634095
54.82390980715927,-21.12787597234047,-148.6584055303779,-0.03268887489784108
60.11322173087066,-24.24454610880158,-147.7601640484944,-0.0151670284486074
65.91283692782038,-26.47401905846896,-146.5241667467163,-0.00701383775758028
72.27198853729641,-28.3567560420109,-145.2921835595209,-0.001722594208701738
79.24465962305571,-30.02708317063065,-143.9795632066345,0.002477678203633064
86.89004143746882,-31.60674247758733,-142.6455337405025,0.005798146945010458
95.27303589816242,-33.07410493648928,-141.2510759011746,0.009005728483599906
104.464806542702,-34.48124295132057,-139.6395930248574,0.01153003131616724
114.5433826383887,-35.82307171526034,-138.1520478032908,0.0132898582645927
125.594321575479,-37.10727625780892,-136.429147375005,0.01511289954477121
137.7114351669083,-38.35506722291193,-134.7140215055124,0.01703851639645536
150.9975860201008,-39.4829106099521,-132.8450299603213,0.01823206978644362
165.5655607412956,-40.59104915490459,-130.8661884481453,0.01938752874058267
181.5390273850507,-41.73277188718557,-128.9726334597293,0.02018439115865861
199.0535852767487,-42.75635370139081,-126.9170792167016,0.0210310395618972
218.2579161200829,-43.81635792928601,-124.895113161573,0.02206056623948164
239.315046161319,-44.85774843422728,-122.9020171955399,0.02190560026330746
262.4037301248862,-45.87397439377445,-120.7661359380316,0.02308499190580657
287.7199686685784,-46.8457304855552,-118.5736993396476,0.02350269939986033
315.4786722400966,-47.84434067835917,-116.9794283837444,0.02412362184802815
345.9154854594682,-48.77320773071091,-114.9360097967411,0.02452619970554645
379.2887875145918,-49.66769459070682,-113.2075349379463,0.0242359879093987
415.8818855513355,-50.48075334291175,-111.3153461393218,0.02489051234229117
456.0054196779549,-51.50593297172873,-109.5476065756296,0.02442603569106087
500.0000000000001,-52.21866789862278,-108.4883237993754,0.02509369656581004
548.2390980715926,-53.21410800501883,-107.0947236934263,0.0252577962813636
601.1322173087067,-53.90043478995092,-105.8533858143011,0.02536431172440255
659.1283692782039,-54.73414314891687,-103.8456381632299,0.02490569968522614
722.7198853729641,-55.50671721080865,-103.0681070714705,0.0251879907417292
792.4465962305571,-56.46763820502773,-101.5394429062889,0.02526763838358511
868.9004143746882,-57.40196062835811,-100.0765432125063,0.02522756346949556
952.7303589816232,-57.98582485802331,-99.89413155394888,0.02616666379545043
1044.648065427019,-58.67486747446456,-98.661779981476,0.02590685537358984
1145.433826383886,-59.4863216646981,-98.67089182582976,0.02545682315568532
1255.94321575479,-60.47625350683112,-96.05511306807168,0.02622243991459267
1377.114351669083,-61.19027195374075,-93.27361777323628,0.02603360233803077
1509.975860201008,-61.86492878979023,-95.9764165628788,0.0265460688429185
1655.655607412956,-63.15813251810077,-94.82318017173702,0.02684312673941774
1815.390273850507,-63.40219668688584,-96.17218604412827,0.02650381083768334
1990.535852767487,-64.32823453766696,-93.90070455734144,0.02825898683302176
2182.579161200831,-65.35575090994436,-93.24103936084128,0.02794490476550742
2393.150461613193,-65.68956632687524,-89.39738068313038,0.02871741824039611
2624.037301248865,-67.07931331098321,-89.25123502277849,0.0296370128508499
2877.199686685784,-67.8514964557923,-92.34991771175481,0.02919180104621074
3154.786722400966,-68.07744202035684,-94.9971399766831,0.03053084997198333
3459.154854594682,-69.39727537915206,-90.4302164300592,0.03211205887720559
3792.887875145918,-68.80979087260403,-84.71424740511586,0.03329301420132889
4158.818855513355,-71.35771570047737,-93.11632749947655,0.03409198218856853
4560.054196779549,-71.01696085449038,-97.80208651965414,0.03579914757378584
5000.000000000001,-72.36228876451881,-82.79279613918558,0.03356763533134718
5482.390980715926,-71.79406125158614,-87.69547007546402,0.03965522543531511
6011.322173087066,-73.50758134367098,-86.84172574628916,0.04140266765098048
6591.283692782037,-75.07789391703487,-94.74705023319251,0.04350166516624086
7227.198853729641,-74.51159524048349,-95.79443147159178,0.03796034723443363
7924.465962305572,-75.74741028201242,-93.63267523401748,0.04686460424421348
8689.004143746883,-77.18232569575218,-72.90624770483505,0.04605010629106254
9527.303589816232,-75.86653062937184,-79.88074480110333,0.04776691351893586
10446.4806542702,-77.80726986984897,-51.470562476626,0.05289818630647485
11454.33826383886,-79.99511205185908,-92.87996677599102,0.05609521269876777
12559.4321575479,-81.82051114076839,-87.83532139486587,0.04642788066568181
13771.14351669083,-79.3986406472864,-75.14129346112902,0.05959688682116972
15099.75860201008,-91.8243296834862,-143.8705304854067,0.06279523328255533
16556.55607412956,-79.840572338223,-94.71724054377465,0.06377950003790925
18153.90273850507,-79.94700651923287,-106.607901415117,0.06411049037224968
19905.35852767487,-81.88616884249141,-67.26062746864143,0.06668407363256142
21825.79161200831,-81.05700270665311,-59.73116810948653,0.0696368059607439
23931.50461613193,-79.93012545262809,-111.5649168899526,0.07033893812429635
26240.37301248865,-86.68126188876755,-88.56501829864408,0.07485636216493771
28771.99686685783,-80.8160861796084,-17.85173753422007,0.0609761559447832
31547.86722400966,-102.7166458432036,-20.91370487411154,0.07994602815354429
34591.54854594682,-85.52363475297176,-168.4339812543973,0.08167015226178917
37928.87875145918,-89.90539819937314,-23.93746106948685,0.08251588796702608
41588.18855513355,-78.7970469652459,-84.71185814130342,0.08779447427567548
45600.54196779549,-87.2971234629653,-79.02562287856927,0.09193399135288237
50000.00000000001,-82.31022171614643,-34.39621258135609,0.09124529378972393
