Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg),Channel 2 Magnitude (dB)
5.000000000000001,0.588469319349526,-3.499337886790968,0.012026520736332
5.482390980715927,0.6922827273331367,-4.001427285056067,0.008550884537499193
6.011322173087066,0.8024259740830496,-4.571443723945691,0.00474841838964763
6.591283692782038,0.9172501016645113,-5.21872769666102,-0.0001954508215966589
7.227198853729641,1.03669627904824,-5.958530589414636,-0.006232058361722074
7.924465962305572,1.158443994226813,-6.813349770811968,-0.01254893448143906
8.689004143746883,1.284639066684508,-7.789503858069573,-0.01764740788638584
9.527303589816242,1.414117696499769,-8.873635590354979,-0.01482874493538393
10.44648065427019,1.55218323557624,-10.01427756762064,-0.005831131520005168
11.45433826383886,1.713200894227917,-11.13084637379228,-0.01324857096528452
12.5594321575479,1.919207946939411,-12.24463650520453,-0.0894985103019638
13.77114351669083,2.177558341702912,-13.50312759671542,-0.2968872125670908
15.09975860201008,2.53353019364705,-15.04329556256757,-0.7799375767717933
16.55655607412956,3.030021779253652,-17.47535176099893,-1.712423457742731
18.15390273850507,3.680137630539477,-21.17013179906009,-3.011227737153982
19.90535852767487,4.49280275419502,-26.600700516107,-4.572362695490874
21.82579161200831,5.455702686182296,-34.71847560168418,-6.338375361966774
23.93150461613193,6.45548828902902,-47.1116311081627,-8.177626874066249
26.24037301248862,7.085719011626221,-65.43657754934695,-9.678530143436845
28.77199686685784,6.598489241286767,-88.35798603930998,-10.09340381580916
31.54786722400965,4.71417680264446,-109.5893265157786,-9.14577592455943
34.59154854594681,2.074403961406656,-124.914124976599,-7.483571507858318
37.92887875145918,-0.7140109723614871,-134.9961998499911,-5.725750329805388
41.58818855513355,-3.431358736436515,-141.6805727558343,-4.111936910963498
45.60054196779549,-6.061610342396855,-146.3483470816336,-2.693809988593296
50.00000000000001,-8.677009343619869,-149.9007664254478,-1.474793429085367
54.82390980715927,-11.5059529950965,-153.1637719593869,-0.4695506165731783
60.11322173087066,-16.65977086290154,-156.5839688630732,-0.02482236774271632
65.91283692782038,-19.72599244183638,-156.382612677634,-0.009969951484382553
72.27198853729641,-21.94784031248957,-156.0767452948161,-0.00261487321042898
79.24465962305571,-23.86476737375112,-155.8103303248971,0.00262493858321966
86.89004143746882,-25.59224696481213,-155.491943078696,0.006782136273441671
95.27303589816242,-27.2296769276131,-155.089631326732,0.009919620161886309
104.464806542702,-28.77896584524576,-154.6122836066562,0.01254285136281538
114.5433826383887,-30.28017354724546,-154.0505242735847,0.01478101802200392
125.594321575479,-31.75259891505201,-153.3651780147034,0.0166919485505261
137.7114351669083,-33.2166843872362,-152.5625489359778,0.01876913536257521
150.9975860201008,-34.6456619938881,-151.6410774519983,0.01998321366138781
165.5655607412956,-36.05528583608039,-150.5310438158492,0.02100046568065713
181.5390273850507,-37.4340796002462,-149.3931242579386,0.02188208953052336
199.0535852767487,-38.77051554730213,-148.0712992410543,0.0232058806809229
218.2579161200829,-40.08258350100559,-146.5697337856444,0.02377661054605514
239.315046161319,-41.3879048875493,-145.1103618895578,0.02494421468947076
262.4037301248862,-42.61065603666533,-143.1846803591419,0.0249021757338366
287.7199686685784,-43.83718640098628,-141.424837899694,0.02519852242086549
315.4786722400966,-45.13137255758544,-139.3693504715026,0.02605451367369085
345.9154854594682,-46.38349357772275,-137.3592801312254,0.02639342233097999
379.2887875145918,-47.58199543566241,-135.1176531841297,0.0263474393541978
415.8818855513355,-48.7860746130574,-133.2780697712004,0.02649278830190708
456.0054196779549,-49.95403409429752,-131.1399747207675,0.02695295118992292
500.0000000000001,-51.06606992425014,-128.5044347848365,0.02702504616469304
548.2390980715926,-52.19663054549089,-125.5819607689756,0.02686445851951827
601.1322173087067,-53.1994095821704,-123.7478749704809,0.02779071542385833
659.1283692782039,-54.20412083558104,-121.0350576696348,0.0272971793109595
722.7198853729641,-55.10998080375401,-120.1857221505125,0.02727787865495833
792.4465962305571,-56.18551336826674,-117.4655865749182,0.02710251354075185
868.9004143746882,-57.24170711675917,-115.941317571385,0.02799734956195025
952.7303589816232,-57.80941954786397,-114.5160241933096,0.0280384905995371
1044.648065427019,-58.94931401657666,-113.1837389537223,0.0277588806147885
1145.433826383886,-59.82456616184309,-110.6893927053687,0.02811672217702365
1255.94321575479,-60.75379110345579,-110.6955485446753,0.02751911365867024
1377.114351669083,-61.44203951059134,-107.3539510221538,0.028080097652287
1509.975860201008,-62.60906510856132,-104.6145638882893,0.02838456559249744
1655.655607412956,-63.69018609046482,-105.9776495462932,0.02842302136196049
1815.390273850507,-64.56019607298055,-99.45591111691664,0.02895322139397655
1990.535852767487,-65.57047259370475,-102.4531948397455,0.02904318773847815
2182.579161200831,-66.07587116430739,-94.17020011747974,0.02990003495606932
2393.150461613193,-66.85715665435096,-100.09693751422,0.0304462555618415
2624.037301248865,-67.73971025654735,-97.19228892135919,0.03090052434800306
2877.199686685784,-68.83939357765696,-99.12110758807691,0.03150787319565485
3154.786722400966,-68.71129588811701,-105.4417179202875,0.0323312426901525
3459.154854594682,-68.19220296564819,-89.16809417124939,0.03419631686141177
3792.887875145918,-70.48818974227527,-81.49177319831034,0.03400619442279429
4158.818855513355,-71.59590915318014,-84.71575670413182,0.03483922468583869
4560.054196779549,-72.07120139855324,-93.66451006231404,0.03613360595065645
5000.000000000001,-70.77625682059133,-91.66996968227789,0.03476472132137498
5482.390980715926,-73.88331154125891,-96.62922020846912,0.04015487563214568
6011.322173087066,-74.4935851976564,-91.40383119559175,0.04234581770967501
6591.283692782037,-74.94334021945026,-83.76523571011222,0.04467117131581901
7227.198853729641,-76.02095324716811,-100.4545213683313,0.038280702977216
7924.465962305572,-75.80708439272712,-84.99549062983891,0.04724110841392432
8689.004143746883,-77.27930696550746,-84.38528402801086,0.04646044248924573
9527.303589816232,-77.8037338847584,-73.16374520829424,0.04758148638616522
10446.4806542702,-75.61222384765509,-77.02117717995435,0.05318220926266527
11454.33826383886,-78.58116774321134,-64.18546478151933,0.05530601750891924
12559.4321575479,-84.22854411981953,-81.62487430107976,0.04612686635481879
13771.14351669083,-80.06859600185493,-71.25624389092602,0.05901812359413794
15099.75860201008,-95.29756710045942,-142.7144610454688,0.06223528220193612
16556.55607412956,-85.02314285538093,-114.5120306966507,0.06285629474393031
18153.90273850507,-87.79114544197378,-102.1472733622693,0.06298659258191011
19905.35852767487,-81.02726767494688,-141.6635715073321,0.065787881612587
21825.79161200831,-88.35757070135827,-118.9165120062563,0.06919090294486828
23931.50461613193,-83.45803165598171,-97.95748806399483,0.06842839159870336
26240.37301248865,-80.17448351245324,-96.31167414902032,0.07402014978598559
28771.99686685783,-79.37275326167683,-55.20735486812719,0.06050761735186393
31547.86722400966,-88.97927391834257,-91.37954734129357,0.07925405419141711
34591.54854594682,-93.12088320423362,-87.35342419295876,0.08082261495178597
37928.87875145918,-82.55472221127492,-55.41623239091668,0.08354770900032166
41588.18855513355,-86.46998430003607,-72.96118933516939,0.08857486960133315
45600.54196779549,-88.31216024025144,-46.78665448160457,0.09059670086212411
50000.00000000001,-82.40191860120152,-60.29278898433734,0.09199578092019833
